Category,Sub-Category,Profit per Order,Quantity,Sales,Sales per Customer
Furniture,Bookcases,41.91,2,262,261.96
Furniture,Chairs,219.58,3,732,731.94
Office Supplies,Labels,6.87,2,15,14.62
Furniture,Tables,-383.03,5,958,957.58
Office Supplies,Storage,2.52,2,22,22.37
Furniture,Furnishings,14.17,7,49,48.86
Office Supplies,Art,1.97,4,7,7.28
Technology,Phones,90.72,6,907,907.15
Office Supplies,Binders,5.78,3,19,18.5
Office Supplies,Appliances,34.47,5,115,114.9
Furniture,Tables,85.31,9,1706,1706.18
Technology,Phones,68.36,4,911,911.42
Office Supplies,Paper,5.44,3,16,15.55
Office Supplies,Binders,132.59,3,408,407.98
Office Supplies,Appliances,-123.86,5,69,68.81
Office Supplies,Binders,-3.82,3,3,2.54
Office Supplies,Storage,13.32,6,666,665.88
Office Supplies,Storage,9.99,2,56,55.5
Office Supplies,Art,2.48,2,9,8.56
Technology,Phones,16.01,3,213,213.48
Office Supplies,Binders,7.38,4,23,22.72
Office Supplies,Art,5.06,7,19,19.46
Office Supplies,Appliances,15.69,7,60,60.34
Furniture,Chairs,-1.02,2,71,71.37
Furniture,Tables,240.26,3,1045,1044.63
Office Supplies,Binders,4.22,2,12,11.65
Technology,Accessories,11.77,3,91,90.57
Furniture,Bookcases,-1665.05,7,3083,3083.43
Office Supplies,Binders,-7.05,2,10,9.62
Furniture,Furnishings,15.52,3,124,124.2
Office Supplies,Envelopes,1.1,2,3,3.26
Office Supplies,Art,9.71,6,86,86.3
Office Supplies,Binders,-5.71,6,7,6.86
Office Supplies,Art,3.55,2,16,15.76
Office Supplies,Paper,9.95,3,29,29.47
Technology,Phones,123.47,7,1098,1097.54
Furniture,Furnishings,-147.96,5,191,190.92
Office Supplies,Envelopes,35.41,9,113,113.33
Furniture,Bookcases,-46.98,3,532,532.4
Furniture,Chairs,-15.15,3,212,212.06
Technology,Phones,41.76,4,371,371.17
Technology,Phones,16.56,4,147,147.17
Office Supplies,Storage,3.89,2,78,77.88
Office Supplies,Storage,9.56,2,96,95.62
Technology,Accessories,19.77,2,46,45.98
Office Supplies,Binders,8.21,2,17,17.46
Office Supplies,Storage,8.48,4,212,211.96
Technology,Accessories,4.95,3,45,45
Technology,Phones,6.1,2,22,21.8
Office Supplies,Binders,17.96,6,38,38.22
Office Supplies,Labels,35.33,6,75,75.18
Furniture,Furnishings,2.96,2,6,6.16
Furniture,Chairs,17.1,1,90,89.99
Office Supplies,Fasteners,6.26,7,15,15.26
Technology,Phones,298.69,5,1030,1029.95
Office Supplies,Storage,52.14,6,209,208.56
Office Supplies,Paper,15.55,5,32,32.4
Furniture,Chairs,7.1,5,319,319.41
Office Supplies,Paper,6.99,2,15,14.56
Technology,Accessories,3.3,2,30,30
Office Supplies,Binders,16.36,4,48,48.48
Office Supplies,Art,0.84,1,2,1.68
Technology,Accessories,6.15,2,14,13.98
Office Supplies,Binders,9.36,6,26,25.82
Office Supplies,Paper,68.96,3,147,146.73
Furniture,Furnishings,22.33,4,80,79.76
Furniture,Chairs,-15.22,5,213,213.11
Office Supplies,Art,111.3,8,1113,1113.02
Technology,Phones,62.99,4,168,167.97
Office Supplies,Paper,35.66,2,76,75.88
Office Supplies,Binders,1.73,1,5,4.62
Office Supplies,Paper,8.76,3,19,19.05
Furniture,Chairs,-114.39,8,832,831.94
Furniture,Furnishings,1.21,2,97,97.04
Office Supplies,Storage,-18.2,1,73,72.78
Office Supplies,Binders,-1.93,3,1,1.25
Furniture,Furnishings,-5.82,3,10,9.71
Office Supplies,Storage,2.72,3,27,27.24
Furniture,Furnishings,-14.48,5,19,19.3
Office Supplies,Appliances,56.2,1,208,208.16
Office Supplies,Binders,8.04,3,17,16.74
Office Supplies,Art,4.17,5,15,14.9
Office Supplies,Storage,6.2,1,21,21.39
Office Supplies,Envelopes,62.81,7,201,200.98
Office Supplies,Storage,-48.95,3,230,230.38
Furniture,Chairs,33.22,2,302,301.96
Technology,Accessories,6.8,1,20,19.99
Office Supplies,Labels,2.96,2,6,6.16
Office Supplies,Storage,13.86,7,158,158.37
Office Supplies,Art,6.63,3,20,20.1
Technology,Phones,8.28,2,74,73.58
Office Supplies,Paper,3.11,1,6,6.48
Office Supplies,Paper,6.22,2,13,12.96
Furniture,Furnishings,16.54,3,53,53.34
Office Supplies,Binders,16.15,2,33,32.96
Office Supplies,Binders,-3.79,1,6,5.68
Furniture,Furnishings,40.54,7,97,96.53
Office Supplies,Binders,17.96,3,51,51.31
Office Supplies,Appliances,22.59,6,78,77.88
Office Supplies,Paper,22.62,7,65,64.62
Technology,Accessories,-10.8,3,96,95.98
Office Supplies,Binders,-3.04,3,2,1.79
