date,sales,promotions,holidays,economic_indicators
2021-01-01,246,1,0,95.056
2021-01-02,187,1,0,96.946
2021-01-03,193,0,0,87.965
2021-01-04,190,0,0,107.775
2021-01-05,155,0,0,79.497
2021-01-06,184,1,0,93.029
2021-01-07,213,0,0,99.538
2021-01-08,214,1,0,112.998
2021-01-09,158,0,0,94.548
2021-01-10,170,0,0,104.279
2021-01-11,180,0,0,99.19
2021-01-12,215,1,0,109.451
2021-01-13,223,0,0,103.756
2021-01-14,189,1,0,108.302
2021-01-15,227,0,0,94.494
2021-01-16,220,0,0,89.86
2021-01-17,187,0,0,103.671
2021-01-18,197,0,0,95.123
2021-01-19,180,0,0,100.303
2021-01-20,184,0,0,103.173
2021-01-21,225,0,0,112.419
2021-01-22,200,0,0,107.866
2021-01-23,214,0,0,93.19
2021-01-24,217,0,0,88.55
2021-01-25,181,0,0,117.074
2021-01-26,239,0,0,84.173
2021-01-27,153,0,0,95.475
2021-01-28,191,0,0,106.452
2021-01-29,176,1,0,116.388
2021-01-30,232,0,0,98.103
2021-01-31,214,0,0,100.273
2021-02-01,180,0,0,91.25
2021-02-02,234,1,0,101.266
2021-02-03,240,0,0,88.498
2021-02-04,194,1,0,92.497
2021-02-05,185,0,0,107.639
2021-02-06,183,0,0,95.664
2021-02-07,228,0,1,109.172
2021-02-08,187,0,0,98.465
2021-02-09,212,0,0,86.312
2021-02-10,206,0,0,111.684
2021-02-11,181,1,0,86.847
2021-02-12,213,0,0,93.982
2021-02-13,162,0,0,98.003
2021-02-14,226,0,0,110.058
2021-02-15,201,0,0,94.735
2021-02-16,202,0,0,90.733
2021-02-17,194,0,0,101.627
2021-02-18,203,0,0,97.86
2021-02-19,211,0,0,95.326
2021-02-20,218,0,0,102.165
2021-02-21,169,0,0,87.964
2021-02-22,197,0,0,82.782
2021-02-23,230,0,0,121.387
2021-02-24,188,0,0,101.042
2021-02-25,188,0,0,101.742
2021-02-26,193,0,0,92.18
2021-02-27,176,0,1,108.977
2021-02-28,186,0,0,94.665
2021-03-01,202,1,0,72.139
2021-03-02,227,1,0,94.33
2021-03-03,156,1,0,97.186
2021-03-04,194,0,0,98.299
2021-03-05,190,0,0,98.01
2021-03-06,149,0,0,93.551
2021-03-07,152,0,0,92.585
2021-03-08,152,0,0,97.02
2021-03-09,235,0,0,83.545
2021-03-10,183,1,0,80.424
2021-03-11,181,0,0,100.981
2021-03-12,192,0,0,101.147
2021-03-13,193,0,0,108.794
2021-03-14,200,0,0,97.444
2021-03-15,229,0,0,88.064
2021-03-16,206,0,0,80.604
2021-03-17,243,1,0,91.098
2021-03-18,208,0,0,104.225
2021-03-19,201,0,0,114.414
2021-03-20,195,1,0,100.541
2021-03-21,189,0,0,87.864
2021-03-22,203,0,0,91.201
2021-03-23,187,0,0,91.513
2021-03-24,235,0,0,95.94
2021-03-25,207,0,0,111.209
2021-03-26,273,0,0,111.989
2021-03-27,216,0,0,98.277
2021-03-28,182,0,0,101.831
2021-03-29,216,0,0,92.024
2021-03-30,222,0,0,82.901
2021-03-31,190,0,0,117.883
2021-04-01,200,0,0,76.775
2021-04-02,190,0,0,81.642
2021-04-03,223,0,0,117.964
2021-04-04,195,0,0,100.166
2021-04-05,148,0,0,88.741
2021-04-06,126,0,0,106.827
2021-04-07,217,0,0,107.731
2021-04-08,196,0,0,86.673
